,Start Time,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance
415,2023-12-21 18:16:13,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-12-21 18:17:06,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Out of Route,Out of Route,6.7
416,2023-11-13 16:31:13,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2023-11-13 16:44:33,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Out of Route,Out of Route,0.3
417,2023-11-10 10:14:17,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-11-10 11:07:30,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Sanku : Mikocheni,6.0
418,2024-01-15 09:48:53,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2024-01-15 09:50:54,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Out of Route,Out of Route,2.1
419,2023-11-21 07:37:44,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-11-21 08:07:30,"Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,2.8
420,2024-01-15 16:21:24,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2024-01-15 17:12:06,"Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0
421,2023-12-06 18:12:55,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-12-06 18:13:22,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Out of Route,5.7
422,2023-11-27 19:59:09,"Station, Kingo, Morogoro Urban, Morogoro, Tanzania",2023-11-27 20:21:31,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.0
423,2023-12-14 18:46:17,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-12-14 18:54:08,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,0.0
424,2023-10-04 13:14:26,"Mvomero, Morogoro, Tanzania",2023-10-04 13:17:57,"Mvomero, Morogoro, Tanzania",T852DZQ,Out of Route,Out of Route,1.6
425,2023-12-07 17:59:36,"Kichangani, Morogoro Urban, Morogoro, Tanzania",2023-12-07 18:08:36,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.5
426,2023-12-11 13:20:56,"Msasani, Kinondoni, Dar es Salaam, Tanzania",2023-12-11 13:27:22,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,7.4
427,2024-01-09 12:05:06,"Nyerere Road, Chang'ombe, Temeke, Dar es Salaam, Tanzania",2024-01-09 12:05:17,"Nyerere Road, Chang'ombe, Temeke, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,1.6
428,2023-12-31 19:55:13,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-12-31 20:03:12,"Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,2.0
429,2023-10-28 08:34:56,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-10-28 08:53:36,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T862DQM,Out of Route,Out of Route,0.5
430,2023-12-06 13:45:48,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-06 15:39:52,"Tambani, Mkuranga, Pwani, Tanzania",T240EBJ,Sanku : Morogoro,Out of Route,2.4
431,2024-01-08 14:37:49,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2024-01-08 14:48:17,"Kingo, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.4
432,2024-01-25 17:30:41,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2024-01-25 17:40:26,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Sanku : Morogoro,Out of Route,2.8
433,2024-01-07 16:09:25,"Kunduchi, Kinondoni, Dar es Salaam, Tanzania",2024-01-07 17:16:54,"Ilala, Dar es Salaam, Tanzania",MC473DKX,Out of Route,S Mkilindi,29.1
434,2023-11-22 16:53:37,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",2023-11-22 17:03:52,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,Out of Route,Out of Route,3.7
435,2023-10-31 18:44:10,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-31 19:02:28,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,0.0
436,2024-01-06 13:33:30,"Kitunda, Ilala, Dar es Salaam, Tanzania",2024-01-06 14:36:29,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T250EBJ,Out of Route,Out of Route,6.8
437,2023-11-29 17:15:31,"B129, Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-11-29 17:40:25,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,9.7
438,2024-01-13 15:51:11,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-13 15:52:12,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,0.0
439,2024-01-05 23:01:07,"Makangarawe, Temeke, Dar es Salaam, Tanzania",2024-01-05 23:09:19,"Makangarawe, Temeke, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,17.6
440,2023-11-14 14:27:17,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-11-14 14:34:34,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,5.2
441,2023-12-14 09:42:53,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2023-12-14 09:52:49,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Out of Route,1.4
442,2023-11-23 18:01:48,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-11-23 18:18:13,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Akiaki Ltd,Out of Route,9.0
443,2024-01-09 18:48:27,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-09 18:49:24,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Mama Mcharo Milling - B,6.3
444,2023-10-14 05:55:57,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-10-14 06:48:02,"Bridge Street, Kivukoni, Ilala, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,12.2
445,2023-12-09 13:56:32,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-09 15:13:46,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Isanga,Out of Route,0.7
446,2023-11-28 18:31:54,"Segerea, Ilala, Dar es Salaam, Tanzania",2023-11-28 18:46:51,"Kinyerezi, Ilala, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Out of Route,0.0
447,2023-11-07 14:37:16,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-11-07 15:01:30,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Out of Route,Out of Route,6.0
448,2024-01-21 11:49:20,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2024-01-21 12:46:22,"Kunduchi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Out of Route,Out of Route,0.1
449,2023-11-21 17:47:17,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-11-21 18:00:53,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Goldenpot Millers,Out of Route,5.2
